City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,inta,66.0317,60.1659,-2.59,87,100,9.99,RU,1675998467
280,immokalee,26.4187,-81.4173,22.97,93,0,0.0,US,1675998467
281,kupang,-10.1667,123.5833,29.32,84,75,6.17,ID,1675998468
282,zhigansk,66.7697,123.3711,-38.86,96,99,3.52,RU,1675998469
283,ankara,39.9199,32.8543,-2.49,83,75,1.54,TR,1675998470
284,saint stephen,50.3333,-4.9,5.15,81,100,1.03,GB,1675998470
285,sur,22.5667,59.5289,20.69,70,5,3.64,OM,1675998471
286,zaida,34.0603,72.4678,8.71,92,52,0.69,PK,1675998472
287,ocos,14.5094,-92.1933,24.1,75,0,0.36,GT,1675998472
288,zavetnoye,47.1194,43.8903,-10.09,94,82,0.63,RU,1675998473
289,nueva loja,0.0847,-76.8828,21.3,96,28,0.84,EC,1675998473
290,muncar,-8.4333,114.3333,29.16,70,84,1.19,ID,1675998474
291,teya,60.3778,92.6267,-26.68,99,99,0.74,RU,1675998475
292,belyy yar,53.6039,91.3903,-21.06,84,40,0.0,RU,1675998476
293,mount isa,-20.7333,139.5,31.87,45,6,5.14,AU,1675998477
294,zhezkazgan,47.8043,67.7144,-16.01,85,100,4.0,KZ,1675998478
295,san rafael,-34.6177,-68.3301,29.69,34,0,6.7,AR,1675998201
296,kysyl-syr,63.8986,122.7617,-38.19,96,84,2.96,RU,1675998479
297,hella,67.2,14.4333,-0.92,87,40,5.66,NO,1675998479
298,bezhetsk,57.7851,36.6965,-7.71,90,20,6.24,RU,1675998480
299,soanierana ivongo,-16.9167,49.5833,22.65,93,95,2.23,MG,1675998481
300,pangnirtung,66.1451,-65.7125,-37.74,88,28,1.43,CA,1675998482
301,simand,46.4333,21.45,-6.97,71,1,0.8,RO,1675998485
302,saint george,37.1041,-113.5841,7.33,31,0,7.2,US,1675998486
303,marzuq,14.4,46.4667,14.28,42,2,0.93,YE,1675998487
304,port-gentil,-0.7193,8.7815,27.13,78,83,3.53,GA,1675998488
305,sinjai,-5.1241,120.253,25.76,80,100,1.12,ID,1675998489
306,viransehir,37.2353,39.7631,0.22,58,5,4.17,TR,1675998489
307,skibbereen,51.55,-9.2667,7.84,99,100,4.73,IE,1675998490
308,beloha,-25.1667,45.05,23.16,81,18,2.47,MG,1675998491
309,haines junction,60.7522,-137.5108,-11.33,97,100,0.31,CA,1675998492
310,pacific grove,36.6177,-121.9166,14.02,84,0,2.06,US,1675998493
311,ahuimanu,21.4447,-157.8378,25.84,69,75,11.83,US,1675998494
312,burnie,-41.0667,145.9167,19.95,68,100,2.07,AU,1675998495
313,aklavik,68.2191,-135.0107,-30.76,99,99,2.64,CA,1675998496
314,northam,51.0333,-4.2167,2.44,81,90,1.94,GB,1675998497
315,luau,-10.7073,22.2247,16.54,97,99,1.28,AO,1675998498
316,middletown,39.5151,-84.3983,7.64,76,100,10.8,US,1675997919
317,souillac,-20.5167,57.5167,25.27,79,70,4.83,MU,1675998499
318,thinadhoo,0.5333,72.9333,27.12,76,100,4.54,MV,1675998500
319,sawakin,19.1059,37.3321,21.68,75,100,4.31,SD,1675998501
320,sabha,27.0377,14.4283,8.07,73,68,3.0,LY,1675998281
321,olafsvik,64.8945,-23.7142,-0.36,90,100,9.44,IS,1675998502
322,collie,-33.3667,116.15,29.27,30,0,4.01,AU,1675998503
323,libreville,0.3925,9.4537,26.01,83,19,1.9,GA,1675998504
324,tra vinh,9.9347,106.3453,30.02,54,62,6.09,VN,1675998330
325,xuddur,4.1213,43.8894,19.85,83,3,6.39,SO,1675998505
326,vardo,70.3705,31.1107,-2.01,80,88,9.26,NO,1675998506
327,port blair,11.6667,92.75,27.02,65,20,2.57,IN,1675997956
328,enshi,30.3,109.4833,8.44,94,100,0.18,CN,1675998508
329,anshun,26.25,105.9333,8.89,91,100,1.84,CN,1675998509
330,malmo,55.6059,13.0007,4.37,89,100,9.67,SE,1675998509
331,eisenstadt,47.8457,16.5233,-1.47,61,13,1.21,AT,1675998510
332,jiaojiang,28.6803,121.4428,12.22,81,83,4.77,CN,1675998511
333,shache,38.4167,77.2406,1.32,44,100,1.15,CN,1675998512
334,bilibino,68.0546,166.4372,-38.45,100,85,0.86,RU,1675998513
335,show low,34.2542,-110.0298,-1.62,40,0,4.63,US,1675998514
336,gigmoto,13.7796,124.39,27.04,79,100,5.98,PH,1675998515
337,xining,36.6167,101.7667,-0.41,19,25,1.13,CN,1675998515
338,koulikoro,14.0,-7.75,22.95,15,0,2.96,ML,1675998516
339,pangody,65.85,74.4859,-12.65,90,100,7.47,RU,1675998517
340,geraldton,-28.7667,114.6,27.23,61,40,10.29,AU,1675998222
341,maniitsoq,65.4167,-52.9,-17.07,99,91,7.94,GL,1675998518
342,kingori,-3.2833,36.9833,17.96,69,32,2.1,TZ,1675998519
343,muriwai beach,-36.8167,174.45,23.01,59,98,0.65,NZ,1675998520
344,vila franca do campo,37.7167,-25.4333,13.23,76,59,4.04,PT,1675998520
345,soe,-9.8607,124.284,24.84,71,100,4.1,ID,1675998521
346,khuzhir,53.1939,107.3397,-12.51,89,80,2.06,RU,1675998522
347,moroni,-11.7022,43.2551,26.35,81,39,1.77,KM,1675998523
348,abu samrah,35.3029,37.1841,3.1,63,100,2.79,SY,1675998523
349,katghora,22.5,82.55,21.18,21,23,1.78,IN,1675998400
350,qaqortoq,60.7167,-46.0333,-2.25,97,100,1.45,GL,1675998524
351,tabuk,17.4189,121.4443,26.39,66,100,2.77,PH,1675998525
352,carlsbad,33.1581,-117.3506,21.94,33,0,4.12,US,1675998526
353,tautira,-17.7333,-149.15,27.34,74,36,4.86,PF,1675998527
